FID,tile,Mg_CO2e_ha,Mg_CO2e_px,ObjectId,Shape__Are,Shape__Len
0,00N_000E,https://data-api.globalforestwatch.org/dataset/gfw_forest_carbon_net_flux/v20210331/download/geotiff?grid=10/40000&tile_id=00N_000E&pixel_meaning=Mg_CO2e_ha,https://gfw-data-lake.s3.amazonaws.com/gfw_forest_carbon_net_flux/v20210331/raw/per_pixel/00N_000E_net_flux_Mg_CO2e_pixel_biomass_soil_forest_extent_2001_20.tif,1,1245542622548.870100000000000,4464169.765581389900000
1,00N_010E,https://data-api.globalforestwatch.org/dataset/gfw_forest_carbon_net_flux/v20210331/download/geotiff?grid=10/40000&tile_id=00N_010E&pixel_meaning=Mg_CO2e_ha,https://gfw-data-lake.s3.amazonaws.com/gfw_forest_carbon_net_flux/v20210331/raw/per_pixel/00N_010E_net_flux_Mg_CO2e_pixel_biomass_soil_forest_extent_2001_20.tif,2,1245542622548.870100000000000,4464169.765581389900000
2,00N_020E,https://data-api.globalforestwatch.org/dataset/gfw_forest_carbon_net_flux/v20210331/download/geotiff?grid=10/40000&tile_id=00N_020E&pixel_meaning=Mg_CO2e_ha,https://gfw-data-lake.s3.amazonaws.com/gfw_forest_carbon_net_flux/v20210331/raw/per_pixel/00N_020E_net_flux_Mg_CO2e_pixel_biomass_soil_forest_extent_2001_20.tif,3,1245542622548.870100000000000,4464169.765581389900000
3,00N_030E,https://data-api.globalforestwatch.org/dataset/gfw_forest_carbon_net_flux/v20210331/download/geotiff?grid=10/40000&tile_id=00N_030E&pixel_meaning=Mg_CO2e_ha,https://gfw-data-lake.s3.amazonaws.com/gfw_forest_carbon_net_flux/v20210331/raw/per_pixel/00N_030E_net_flux_Mg_CO2e_pixel_biomass_soil_forest_extent_2001_20.tif,4,1245542622548.870100000000000,4464169.765581389900000
4,00N_040E,https://data-api.globalforestwatch.org/dataset/gfw_forest_carbon_net_flux/v20210331/download/geotiff?grid=10/40000&tile_id=00N_040E&pixel_meaning=Mg_CO2e_ha,https://gfw-data-lake.s3.amazonaws.com/gfw_forest_carbon_net_flux/v20210331/raw/per_pixel/00N_040E_net_flux_Mg_CO2e_pixel_biomass_soil_forest_extent_2001_20.tif,5,1245542622548.870100000000000,4464169.765581389900000
5,00N_040W,https://data-api.globalforestwatch.org/dataset/gfw_forest_carbon_net_flux/v20210331/download/geotiff?grid=10/40000&tile_id=00N_040W&pixel_meaning=Mg_CO2e_ha,https://gfw-data-lake.s3.amazonaws.com/gfw_forest_carbon_net_flux/v20210331/raw/per_pixel/00N_040W_net_flux_Mg_CO2e_pixel_biomass_soil_forest_extent_2001_20.tif,6,1245542622548.870100000000000,4464169.765581389900000
6,00N_050W,https://data-api.globalforestwatch.org/dataset/gfw_forest_carbon_net_flux/v20210331/download/geotiff?grid=10/40000&tile_id=00N_050W&pixel_meaning=Mg_CO2e_ha,https://gfw-data-lake.s3.amazonaws.com/gfw_forest_carbon_net_flux/v20210331/raw/per_pixel/00N_050W_net_flux_Mg_CO2e_pixel_biomass_soil_forest_extent_2001_20.tif,7,1245542622548.870100000000000,4464169.765581389900000
7,00N_060W,https://data-api.globalforestwatch.org/dataset/gfw_forest_carbon_net_flux/v20210331/download/geotiff?grid=10/40000&tile_id=00N_060W&pixel_meaning=Mg_CO2e_ha,https://gfw-data-lake.s3.amazonaws.com/gfw_forest_carbon_net_flux/v20210331/raw/per_pixel/00N_060W_net_flux_Mg_CO2e_pixel_biomass_soil_forest_extent_2001_20.tif,8,1245542622548.870100000000000,4464169.765581389900000
8,00N_070E,https://data-api.globalforestwatch.org/dataset/gfw_forest_carbon_net_flux/v20210331/download/geotiff?grid=10/40000&tile_id=00N_070E&pixel_meaning=Mg_CO2e_ha,https://gfw-data-lake.s3.amazonaws.com/gfw_forest_carbon_net_flux/v20210331/raw/per_pixel/00N_070E_net_flux_Mg_CO2e_pixel_biomass_soil_forest_extent_2001_20.tif,9,1245542622548.870100000000000,4464169.765581389900000
9,00N_070W,https://data-api.globalforestwatch.org/dataset/gfw_forest_carbon_net_flux/v20210331/download/geotiff?grid=10/40000&tile_id=00N_070W&pixel_meaning=Mg_CO2e_ha,https://gfw-data-lake.s3.amazonaws.com/gfw_forest_carbon_net_flux/v20210331/raw/per_pixel/00N_070W_net_flux_Mg_CO2e_pixel_biomass_soil_forest_extent_2001_20.tif,10,1245542622548.870100000000000,4464169.765581389900000
